FPS,GPU Frame Time,CPU Frame Time,Draw Calls,Total Frame Time,Model Count
62.5,0.770048,1.0,115,16.0,10
62.5,0.679936,1.0,115,16.0,10
58.8235294117647,0.685056,3.0,118,17.0,10
62.5,1.3957119999999998,3.0,140,16.0,14
58.8235294117647,1.3823999999999999,3.0,136,17.0,14
58.8235294117647,1.384448,2.0,137,17.0,14
58.8235294117647,0.8007679999999999,2.0,191,17.0,18
58.8235294117647,1.5011839999999999,2.0,186,17.0,18
55.55555555555556,0.667648,0.0,183,18.0,18
58.8235294117647,0.6594559999999999,2.0,180,17.0,19
62.5,0.7137279999999999,3.0,356,16.0,22
55.55555555555556,0.7874559999999999,3.0,349,18.0,22
62.5,0.684032,4.0,300,16.0,23
58.8235294117647,0.9512959999999999,4.0,425,17.0,25
58.8235294117647,0.801792,4.0,439,17.0,25
55.55555555555556,1.713152,3.0,456,18.0,27
62.5,0.685056,4.0,243,16.0,28
58.8235294117647,0.8468479999999999,4.0,405,17.0,29
62.5,1.518592,4.0,404,16.0,30
66.66666666666667,0.811008,4.0,411,15.0,30
58.8235294117647,1.854464,3.0,348,17.0,31
62.5,1.3639679999999998,4.0,338,16.0,33
58.8235294117647,0.748544,5.0,315,17.0,34
62.5,0.740352,3.0,321,16.0,35
58.8235294117647,0.72192,3.0,339,17.0,36
62.5,0.7372799999999999,5.0,490,16.0,36
58.8235294117647,2.0654079999999997,3.0,349,17.0,37
58.8235294117647,1.586176,3.0,399,17.0,38
62.5,0.7137279999999999,4.0,448,16.0,38
58.8235294117647,0.8335359999999999,4.0,437,17.0,40
58.8235294117647,2.057216,5.0,601,17.0,43
58.8235294117647,3.454976,5.0,662,17.0,45
62.5,13.815807999999999,6.0,658,16.0,45
62.5,13.09696,6.0,686,16.0,47
62.5,13.199359999999999,5.0,572,16.0,50
62.5,14.01344,5.0,709,16.0,50
62.5,13.581311999999999,5.0,707,16.0,51
58.8235294117647,13.407231999999999,5.0,612,17.0,51
62.5,1.784832,7.0,696,16.0,52
58.8235294117647,12.112896,5.0,652,17.0,53
58.8235294117647,0.9103359999999999,6.0,711,17.0,54
58.8235294117647,13.116416,5.0,623,17.0,55
62.5,12.338175999999999,6.0,760,16.0,55
58.8235294117647,12.007424,6.0,696,17.0,57
62.5,10.745856,6.0,746,16.0,58
62.5,11.219968,5.0,592,16.0,58
58.8235294117647,12.845056,5.0,678,17.0,58
55.55555555555556,13.312,6.0,770,18.0,59
58.8235294117647,12.589056,5.0,782,17.0,61
62.5,13.741055999999999,7.0,791,16.0,62
58.8235294117647,13.380607999999999,6.0,776,17.0,62
58.8235294117647,13.861887999999999,4.0,600,17.0,63
62.5,11.650048,7.0,809,16.0,65
58.8235294117647,12.094464,7.0,879,17.0,66
62.5,13.471744,6.0,504,16.0,67
62.5,2.5907199999999997,7.0,905,16.0,67
62.5,13.343744,6.0,695,16.0,67
62.5,2.669568,7.0,805,16.0,68
58.8235294117647,13.246464,5.0,617,17.0,68
58.8235294117647,3.227648,8.0,928,17.0,70
62.5,12.028927999999999,6.0,734,16.0,71
62.5,11.409407999999999,8.0,860,16.0,72
66.66666666666667,12.69248,6.0,598,15.0,73
66.66666666666667,13.177856,8.0,996,15.0,73
58.8235294117647,11.872256,6.0,608,17.0,74
58.8235294117647,10.86464,5.0,710,17.0,74
58.8235294117647,11.229184,6.0,836,17.0,75
58.8235294117647,9.105407999999999,6.0,926,17.0,77
62.5,10.099712,6.0,729,16.0,78
58.8235294117647,13.011968,7.0,946,17.0,79
62.5,13.04064,7.0,975,16.0,79
58.8235294117647,11.64288,8.0,800,17.0,80
58.8235294117647,7.3216,6.0,1034,17.0,81
62.5,0.761856,5.0,608,16.0,82
62.5,4.39808,7.0,1006,16.0,82
62.5,11.02336,7.0,1079,16.0,82
62.5,12.259328,9.0,1072,16.0,84
58.8235294117647,1.9179519999999999,7.0,945,17.0,85
62.5,6.884352,8.0,1157,16.0,89
58.8235294117647,3.7345279999999996,7.0,1021,17.0,89
58.8235294117647,2.325504,5.0,693,17.0,89
58.8235294117647,10.641408,8.0,1098,17.0,90
62.5,11.145216,9.0,1147,16.0,91
58.8235294117647,2.666496,7.0,1019,17.0,91
58.8235294117647,1.6015359999999998,6.0,791,17.0,92
58.8235294117647,2.6408959999999997,8.0,924,17.0,92
62.5,2.8415999999999997,9.0,1293,16.0,95
58.8235294117647,3.29216,7.0,1191,17.0,96
58.8235294117647,1.553408,6.0,921,17.0,96
58.8235294117647,2.732032,7.0,1204,17.0,99
58.8235294117647,2.039808,8.0,863,17.0,99
62.5,3.395584,8.0,1244,16.0,102
62.5,2.230272,8.0,1139,16.0,103
58.8235294117647,2.709504,8.0,1324,17.0,105
62.5,3.666944,9.0,1520,16.0,107
58.8235294117647,2.7412479999999997,11.0,1464,17.0,108
62.5,3.421184,9.0,1309,16.0,109
62.5,3.3566719999999997,9.0,1294,16.0,109
58.8235294117647,3.6618239999999997,10.0,1517,17.0,111
62.5,4.043776,10.0,1448,16.0,112
62.5,1.94048,8.0,1142,16.0,112
58.8235294117647,3.6679679999999997,8.0,1380,17.0,113
62.5,3.058688,12.0,1310,16.0,113
62.5,3.067904,9.0,1222,16.0,117
58.8235294117647,3.0965759999999998,9.0,1249,17.0,117
71.42857142857143,3.1764479999999997,7.0,1411,14.0,119
62.5,4.2854399999999995,9.0,1576,16.0,121
58.8235294117647,2.598912,9.0,1231,17.0,121
58.8235294117647,4.0919039999999995,9.0,1576,17.0,122
62.5,3.057664,12.0,1444,16.0,122
58.8235294117647,3.930112,9.0,1268,17.0,123
62.5,3.4242559999999997,10.0,1602,16.0,126
58.8235294117647,4.293632,11.0,1713,17.0,127
62.5,3.2430079999999997,10.0,1560,16.0,127
62.5,2.87744,10.0,1385,16.0,127
58.8235294117647,2.65728,8.0,1229,17.0,129
62.5,4.176896,10.0,1555,16.0,130
58.8235294117647,5.466112,11.0,1816,17.0,131
58.8235294117647,4.216832,10.0,1380,17.0,131
62.5,3.2696319999999996,11.0,1562,16.0,132
58.8235294117647,11.126783999999999,12.0,2029,17.0,133
62.5,3.656704,10.0,1452,16.0,134
62.5,2.823168,11.0,1418,16.0,136
58.8235294117647,3.117056,10.0,1497,17.0,137
62.5,11.831296,12.0,1989,16.0,139
62.5,5.422079999999999,11.0,1731,16.0,140
58.8235294117647,4.6807039999999995,13.0,2176,17.0,141
62.5,9.59488,13.0,2051,16.0,141
62.5,3.6710399999999996,10.0,1436,16.0,143
62.5,11.490304,9.0,1538,16.0,144
58.8235294117647,2.9921279999999997,11.0,1504,17.0,145
58.8235294117647,11.548672,10.0,1627,17.0,145
62.5,3.421184,11.0,1433,16.0,145
58.8235294117647,4.374528,10.0,1529,17.0,145
62.5,8.639488,12.0,1964,16.0,146
62.5,9.977856,10.0,1685,16.0,146
62.5,9.904128,14.0,2061,16.0,149
58.8235294117647,9.042944,12.0,1734,17.0,151
58.8235294117647,10.773503999999999,12.0,1753,17.0,152
62.5,10.238976,12.0,1946,16.0,152
58.8235294117647,5.85216,12.0,2138,17.0,152
58.8235294117647,5.337088,10.0,1516,17.0,152
62.5,6.0856319999999995,13.0,2051,16.0,152
62.5,10.28608,13.0,1846,16.0,153
62.5,10.664959999999999,10.0,1565,16.0,154
58.8235294117647,10.974207999999999,10.0,1550,17.0,155
62.5,5.103616,12.0,2054,16.0,156
58.8235294117647,9.546752,11.0,1959,17.0,157
71.42857142857143,11.603968,12.0,2221,14.0,158
58.8235294117647,9.226239999999999,10.0,1532,17.0,159
62.5,3.29216,13.0,1954,16.0,161
58.8235294117647,9.440256,11.0,1871,17.0,161
62.5,8.967168,13.0,2144,16.0,161
58.8235294117647,8.66816,13.0,2169,17.0,161
58.8235294117647,10.570751999999999,12.0,2037,17.0,163
62.5,10.090496,12.0,1686,16.0,163
62.5,9.305088,12.0,1785,16.0,165
58.8235294117647,10.339328,11.0,1759,17.0,166
62.5,8.776703999999999,13.0,2302,16.0,166
58.8235294117647,7.217152,13.0,2414,17.0,167
62.5,8.757247999999999,12.0,1646,16.0,170
58.8235294117647,9.662464,13.0,2121,17.0,173
58.8235294117647,9.146367999999999,13.0,2201,17.0,174
58.8235294117647,9.084928,12.0,1848,17.0,174
58.8235294117647,11.208704,12.0,1832,17.0,175
62.5,10.821632,12.0,1933,16.0,175
62.5,8.59136,11.0,1669,16.0,176
62.5,8.32,12.0,1499,16.0,177
58.8235294117647,5.39136,12.0,1697,17.0,178
62.5,9.527296,12.0,2096,16.0,178
62.5,9.782271999999999,12.0,2139,16.0,178
58.8235294117647,8.484864,13.0,2378,17.0,179
58.8235294117647,10.835968,12.0,1889,17.0,180
62.5,10.481664,12.0,1848,16.0,181
62.5,9.919488,13.0,2255,16.0,184
62.5,6.639615999999999,13.0,2066,16.0,186
58.8235294117647,9.519104,12.0,2097,17.0,187
62.5,8.411135999999999,14.0,2309,16.0,189
62.5,5.73952,12.0,1744,16.0,190
58.8235294117647,9.792512,12.0,2070,17.0,192
58.8235294117647,8.402944,15.0,2377,17.0,192
62.5,7.76192,15.0,2308,16.0,193
52.63157894736842,10.847232,17.0,2628,19.0,195
58.8235294117647,8.413184,13.0,2371,17.0,197
55.55555555555556,9.443328,14.0,2604,18.0,198
62.5,7.958527999999999,14.0,2210,16.0,198
58.8235294117647,9.719808,13.0,1901,17.0,200
47.61904761904762,15.719424,15.0,2129,21.0,201
55.55555555555556,9.750528,16.0,2709,18.0,202
58.8235294117647,8.701952,13.0,2004,17.0,202
58.8235294117647,10.274816,16.0,2405,17.0,202
55.55555555555556,9.503744,17.0,2723,18.0,206
58.8235294117647,9.30304,14.0,2272,17.0,206
58.8235294117647,11.030528,15.0,2632,17.0,207
58.8235294117647,8.82688,14.0,2358,17.0,208
50.0,11.568128,18.0,3153,20.0,209
58.8235294117647,9.938944,15.0,2639,17.0,209
52.63157894736842,9.993216,16.0,2832,19.0,209
52.63157894736842,9.636864,16.0,2741,19.0,209
55.55555555555556,9.304064,15.0,2199,18.0,209
55.55555555555556,9.795584,16.0,2809,18.0,213
55.55555555555556,10.19904,16.0,2653,18.0,213
58.8235294117647,9.400319999999999,15.0,2500,17.0,215
58.8235294117647,8.625152,14.0,2422,17.0,216
52.63157894736842,10.188799999999999,15.0,2679,19.0,217
50.0,10.703871999999999,16.0,2858,20.0,218
55.55555555555556,9.515008,17.0,2603,18.0,219
58.8235294117647,9.211903999999999,14.0,2459,17.0,219
47.61904761904762,10.473472,18.0,2990,21.0,220
50.0,11.285504,18.0,3074,20.0,220
43.47826086956522,10.109952,17.0,2787,23.0,221
55.55555555555556,9.661439999999999,16.0,2634,18.0,221
52.63157894736842,10.898432,18.0,3020,19.0,221
58.8235294117647,9.864192,15.0,2476,17.0,221
52.63157894736842,9.794559999999999,16.0,2707,19.0,221
45.45454545454545,9.667584,16.0,2608,22.0,222
41.666666666666664,10.906623999999999,22.0,2984,24.0,223
52.63157894736842,9.838592,16.0,2638,19.0,225
45.45454545454545,11.419647999999999,18.0,3003,22.0,226
50.0,10.995712,18.0,3011,20.0,226
47.61904761904762,10.61376,17.0,2901,21.0,227
52.63157894736842,9.753599999999999,18.0,2931,19.0,227
52.63157894736842,9.993216,17.0,2726,19.0,228
43.47826086956522,12.450816,18.0,3289,23.0,230
52.63157894736842,10.166272,15.0,2586,19.0,230
52.63157894736842,10.548224,17.0,2545,19.0,230
55.55555555555556,9.665536,16.0,2640,18.0,231
52.63157894736842,9.500672,16.0,2728,19.0,232
55.55555555555556,9.835519999999999,15.0,2589,18.0,232
52.63157894736842,9.970687999999999,16.0,2838,19.0,232
47.61904761904762,10.590207999999999,18.0,3085,21.0,233
43.47826086956522,12.356608,16.0,2795,23.0,233
52.63157894736842,8.544255999999999,16.0,2500,19.0,234
47.61904761904762,13.68576,18.0,3061,21.0,234
47.61904761904762,10.442751999999999,17.0,2989,21.0,234
45.45454545454545,10.735616,19.0,3042,22.0,234
47.61904761904762,11.600895999999999,19.0,3032,21.0,236
55.55555555555556,9.250816,16.0,2481,18.0,236
52.63157894736842,11.081728,17.0,2891,19.0,238
47.61904761904762,12.241919999999999,20.0,3193,21.0,239
50.0,11.561983999999999,20.0,3128,20.0,239
47.61904761904762,12.188671999999999,16.0,2831,21.0,240
45.45454545454545,12.530688,19.0,3194,22.0,240
41.666666666666664,12.236799999999999,21.0,3477,24.0,240
45.45454545454545,12.35456,21.0,3459,22.0,241
50.0,10.882048,18.0,3076,20.0,242
41.666666666666664,13.062144,23.0,3178,24.0,244
47.61904761904762,11.56096,19.0,3022,21.0,245
50.0,10.633216,17.0,2777,20.0,246
37.03703703703704,14.900224,19.0,3242,27.0,246
52.63157894736842,10.774528,18.0,2904,19.0,246
45.45454545454545,12.506112,19.0,3231,22.0,247
50.0,10.368,18.0,2654,20.0,247
52.63157894736842,10.334208,17.0,2737,19.0,247
43.47826086956522,12.563455999999999,20.0,3534,23.0,248
50.0,12.417024,19.0,3186,20.0,248
43.47826086956522,15.82592,20.0,3479,23.0,248
50.0,10.469375999999999,17.0,2793,20.0,248
43.47826086956522,11.311104,19.0,2953,23.0,248
47.61904761904762,11.276288,18.0,3120,21.0,249
52.63157894736842,10.321919999999999,17.0,2703,19.0,250
52.63157894736842,11.462655999999999,17.0,2734,19.0,250
40.0,12.466175999999999,20.0,3524,25.0,250
47.61904761904762,11.512832,17.0,3092,21.0,251
43.47826086956522,13.227008,21.0,3508,23.0,253
47.61904761904762,11.400191999999999,18.0,3059,21.0,253
45.45454545454545,11.720704,19.0,3207,22.0,254
43.47826086956522,11.06432,18.0,2954,23.0,255
50.0,12.601344,19.0,2905,20.0,257
45.45454545454545,11.99616,18.0,2897,22.0,258
43.47826086956522,13.283328,20.0,3603,23.0,258
45.45454545454545,12.662784,18.0,3342,22.0,259
47.61904761904762,11.274239999999999,19.0,3046,21.0,259
43.47826086956522,12.566528,19.0,3265,23.0,259
40.0,13.57824,21.0,3579,25.0,260
43.47826086956522,13.073407999999999,23.0,3648,23.0,260
47.61904761904762,9.924608,17.0,2835,21.0,260
43.47826086956522,11.292672,19.0,3307,23.0,261
47.61904761904762,11.324416,20.0,3122,21.0,261
43.47826086956522,11.887616,20.0,3245,23.0,261
45.45454545454545,11.347968,18.0,2979,22.0,261
41.666666666666664,13.23008,22.0,3753,24.0,264
43.47826086956522,12.660736,19.0,3324,23.0,265
43.47826086956522,12.3392,20.0,3439,23.0,267
43.47826086956522,11.470848,19.0,3270,23.0,267
37.03703703703704,13.284352,22.0,3658,27.0,268
45.45454545454545,12.199936,20.0,3424,22.0,268
45.45454545454545,11.459584,18.0,2986,22.0,269
45.45454545454545,13.140991999999999,19.0,3114,22.0,269
37.03703703703704,12.99456,21.0,3578,27.0,271
34.48275862068966,17.926144,18.0,3225,29.0,273
47.61904761904762,13.408256,20.0,3071,21.0,274
41.666666666666664,12.359679999999999,20.0,3337,24.0,275
41.666666666666664,12.291072,21.0,3407,24.0,278
45.45454545454545,11.913216,21.0,3270,22.0,283
43.47826086956522,12.916736,21.0,3298,23.0,283
41.666666666666664,11.273216,18.0,3119,24.0,284
